(0 70 66 1 1)
(13833333/125000 69 65 16666667/50000000 1)
(13833333/125000 53 56 16666667/50000000 1)
(111 75 69 16666667/50000000 1)
(111 41 49 16666667/50000000 1)
(13916667/125000 63 62 16666667/50000000 1)
(13916667/125000 60 60 16666667/50000000 1)
(13958333/125000 69 65 16666667/50000000 1)
(13958333/125000 53 56 16666667/50000000 1)
(112 79 71 16666667/50000000 1)
(112 46 52 16666667/50000000 1)
(14041667/125000 67 64 16666667/50000000 1)
(14041667/125000 63 62 16666667/50000000 1)
(14083333/125000 70 66 16666667/50000000 1)
(14083333/125000 53 56 16666667/50000000 1)
(113 77 70 16666667/50000000 1)
(113 50 54 16666667/50000000 1)
(14166667/125000 65 63 16666667/50000000 1)
(14166667/125000 62 61 16666667/50000000 1)
(14208333/125000 70 66 16666667/50000000 1)
(14208333/125000 53 56 16666667/50000000 1)
(114 74 68 16666667/50000000 1)
(114 46 52 16666667/50000000 1)
(14291667/125000 62 61 16666667/50000000 1)
(14291667/125000 58 59 16666667/50000000 1)
(14333333/125000 65 63 16666667/50000000 1)
(14333333/125000 53 56 16666667/50000000 1)
(115 75 69 16666667/50000000 1)
(115 41 49 16666667/50000000 1)
(14416667/125000 63 62 16666667/50000000 1)
(14416667/125000 60 60 16666667/50000000 1)
(14458333/125000 69 65 16666667/50000000 1)
(14458333/125000 53 56 16666667/50000000 1)
(116 74 68 16666667/50000000 1)
(116 48 53 16666667/50000000 1)
(14541667/125000 62 61 16666667/50000000 1)
(14541667/125000 59 59 16666667/50000000 1)
(14583333/125000 69 65 16666667/50000000 1)
(14583333/125000 53 56 16666667/50000000 1)
(117 75 69 16666667/50000000 1)
(117 41 49 16666667/50000000 1)
(14666667/125000 63 62 16666667/50000000 1)
(14666667/125000 60 60 16666667/50000000 1)
(14708333/125000 69 65 16666667/50000000 1)
(14708333/125000 53 56 16666667/50000000 1)
(118 79 71 16666667/50000000 1)
(118 46 52 16666667/50000000 1)
(14791667/125000 67 64 16666667/50000000 1)
(14791667/125000 63 62 16666667/50000000 1)
(14833333/125000 72 67 16666667/50000000 1)
(14833333/125000 56 58 16666667/50000000 1)
(119 77 70 16666667/50000000 1)
(119 53 56 16666667/50000000 1)
(14916667/125000 65 63 16666667/50000000 1)
(14916667/125000 62 61 16666667/50000000 1)
(14958333/125000 68 65 16666667/50000000 1)
(14958333/125000 56 58 16666667/50000000 1)
(120 72 67 16666667/50000000 1)
(120 46 52 16666667/50000000 1)
(15041667/125000 60 60 16666667/50000000 1)
(15041667/125000 56 58 16666667/50000000 1)
(15083333/125000 65 63 16666667/50000000 1)
(15083333/125000 50 54 16666667/50000000 1)
(121 70 66 16666667/50000000 1)
(121 39 48 16666667/50000000 1)
(15166667/125000 58 59 16666667/50000000 1)
(15166667/125000 55 57 16666667/50000000 1)
(15208333/125000 67 64 16666667/50000000 1)
(15208333/125000 46 52 16666667/50000000 1)
(122 75 69 16666667/50000000 1)
(122 39 48 16666667/50000000 1)
(15291667/125000 63 62 16666667/50000000 1)
(15291667/125000 55 57 16666667/50000000 1)
(15333333/125000 70 66 16666667/50000000 1)
(15333333/125000 46 52 16666667/50000000 1)
(123 79 71 16666667/50000000 1)
(123 39 48 16666667/50000000 1)
(15416667/125000 67 64 16666667/50000000 1)
(15416667/125000 58 59 16666667/50000000 1)
(15458333/125000 75 69 16666667/50000000 1)
(15458333/125000 46 52 16666667/50000000 1)
(124 82 73 16666667/50000000 1)
(124 39 48 16666667/50000000 1)
(15541667/125000 70 66 16666667/50000000 1)
(15541667/125000 63 62 16666667/50000000 1)
(15583333/125000 79 71 16666667/50000000 1)
(15583333/125000 55 57 16666667/50000000 1)
(125 87 76 16666667/50000000 1)
(125 46 52 16666667/50000000 1)
(15666667/125000 75 69 16666667/50000000 1)
(15666667/125000 67 64 16666667/50000000 1)
(15708333/125000 82 73 16666667/50000000 1)
(15708333/125000 58 59 16666667/50000000 1)
(126 91 78 16666667/50000000 1)
(126 51 55 16666667/50000000 1)
(15791667/125000 75 69 16666667/50000000 1)
(15791667/125000 70 66 16666667/50000000 1)
(15833333/125000 82 73 16666667/50000000 1)
(15833333/125000 58 59 16666667/50000000 1)
(127 90 78 16666667/50000000 1)
(127 45 51 16666667/50000000 1)
(15916667/125000 75 69 16666667/50000000 1)
(15916667/125000 60 60 16666667/50000000 1)
(15958333/125000 81 72 16666667/50000000 1)
(15958333/125000 54 57 16666667/50000000 1)
(128 89 77 16666667/50000000 1)
(128 47 52 16666667/50000000 1)
(12833333/100000 74 68 16666667/50000000 1)
(12833333/100000 62 61 16666667/50000000 1)
(6432917/50000 80 72 16666667/50000000 1)
(6432917/50000 56 58 16666667/50000000 1)
(129 88 76 16666667/50000000 1)
(129 49 54 16666667/50000000 1)
(12933333/100000 73 68 16666667/50000000 1)
(12933333/100000 64 62 16666667/50000000 1)
(6482917/50000 79 71 16666667/50000000 1)
(6482917/50000 58 59 16666667/50000000 1)
(130 87 76 16666667/50000000 1)
(130 51 55 16666667/50000000 1)
(13033333/100000 72 67 16666667/50000000 1)
(13033333/100000 66 64 16666667/50000000 1)
(6532917/50000 78 71 16666667/50000000 1)
(6532917/50000 60 60 16666667/50000000 1)
(131 86 75 16666667/50000000 1)
(131 53 56 16666667/50000000 1)
(13133333/100000 71 66 16666667/50000000 1)
(13133333/100000 68 65 16666667/50000000 1)
(6582917/50000 77 70 16666667/50000000 1)
(6582917/50000 62 61 16666667/50000000 1)
(132 85 75 16666667/50000000 1)
(132 55 57 16666667/50000000 1)
(13233333/100000 73 68 16666667/50000000 1)
(13233333/100000 70 66 16666667/50000000 1)
(6632917/50000 79 71 16666667/50000000 1)
(6632917/50000 64 62 16666667/50000000 1)
(133 84 74 16666667/50000000 1)
(133 56 58 16666667/50000000 1)
(13333333/100000 72 67 16666667/50000000 1)
(13333333/100000 68 65 16666667/50000000 1)
(6682917/50000 77 70 16666667/50000000 1)
(6682917/50000 65 63 16666667/50000000 1)
(134 86 75 16666667/50000000 1)
(134 60 60 16666667/50000000 1)
(13433333/100000 72 67 16666667/50000000 1)
(13433333/100000 68 65 16666667/50000000 1)
(6732917/50000 77 70 16666667/50000000 1)
(6732917/50000 65 63 16666667/50000000 1)
(135 87 76 16666667/50000000 1)
(135 56 58 16666667/50000000 1)
(13533333/100000 72 67 16666667/50000000 1)
(13533333/100000 68 65 16666667/50000000 1)
(6782917/50000 77 70 16666667/50000000 1)
(6782917/50000 65 63 16666667/50000000 1)
(136 89 77 16666667/50000000 1)
(136 53 56 16666667/50000000 1)
(13633333/100000 77 70 16666667/50000000 1)
(13633333/100000 75 69 16666667/50000000 1)
(13666667/100000 84 74 16666667/50000000 1)
(13666667/100000 68 65 16666667/50000000 1)
(137 91 78 16666667/50000000 1)
(137 63 62 16666667/50000000 1)
(13733333/100000 79 71 16666667/50000000 1)
(13733333/100000 75 69 16666667/50000000 1)
(13766667/100000 84 74 16666667/50000000 1)
(13766667/100000 68 65 16666667/50000000 1)
(138 89 77 16666667/50000000 1)
(138 56 58 16666667/50000000 1)
(13833333/100000 77 70 16666667/50000000 1)
(13833333/100000 75 69 16666667/50000000 1)
(13866667/100000 84 74 16666667/50000000 1)
(13866667/100000 68 65 16666667/50000000 1)
(139 84 74 16666667/50000000 1)
(139 44 51 16666667/50000000 1)
(13933333/100000 72 67 16666667/50000000 1)
(13933333/100000 68 65 16666667/50000000 1)
(13966667/100000 77 70 16666667/50000000 1)
(13966667/100000 65 63 16666667/50000000 1)
(140 86 75 16666667/50000000 1)
(140 60 60 16666667/50000000 1)
(14033333/100000 74 68 16666667/50000000 1)
(14033333/100000 68 65 16666667/50000000 1)
(14066667/100000 77 70 16666667/50000000 1)
(14066667/100000 65 63 16666667/50000000 1)
(141 84 74 16666667/50000000 1)
(141 53 56 16666667/50000000 1)
(14133333/100000 72 67 16666667/50000000 1)
(14133333/100000 68 65 16666667/50000000 1)
(14166667/100000 77 70 16666667/50000000 1)
(14166667/100000 63 62 16666667/50000000 1)
(142 77 70 16666667/50000000 1)
(142 46 52 16666667/50000000 1)
(14233333/100000 65 63 16666667/50000000 1)
(14233333/100000 63 62 16666667/50000000 1)
(14266667/100000 72 67 16666667/50000000 1)
(14266667/100000 56 58 16666667/50000000 1)
(143 79 71 16666667/50000000 1)
(143 53 56 16666667/50000000 1)
(14333333/100000 65 63 16666667/50000000 1)
(14333333/100000 62 61 16666667/50000000 1)
(14366667/100000 72 67 16666667/50000000 1)
(14366667/100000 56 58 16666667/50000000 1)
(144 74 68 16666667/50000000 1)
(144 46 52 16666667/50000000 1)
(14433333/100000 62 61 16666667/50000000 1)
(14433333/100000 58 59 16666667/50000000 1)
(14466667/100000 70 66 16666667/50000000 1)
(14466667/100000 56 58 16666667/50000000 1)
(145 75 69 16666667/50000000 1)
(145 39 48 16666667/50000000 1)
(14533333/100000 63 62 16666667/50000000 1)
(14533333/100000 55 57 16666667/50000000 1)
(14566667/100000 70 66 16666667/50000000 1)
(14566667/100000 46 52 16666667/50000000 1)
(146 82 73 16666667/50000000 1)
(146 39 48 16666667/50000000 1)
(14633333/100000 67 64 16666667/50000000 1)
(14633333/100000 58 59 16666667/50000000 1)
(14666667/100000 75 69 16666667/50000000 1)
(14666667/100000 46 52 16666667/50000000 1)
(147 83 73 16666667/50000000 1)
(147 39 48 16666667/50000000 1)
(14733333/100000 67 64 16666667/50000000 1)
(14733333/100000 55 57 16666667/50000000 1)
(14766667/100000 75 69 16666667/50000000 1)
(14766667/100000 46 52 16666667/50000000 1)
(148 82 73 16666667/50000000 1)
(148 39 48 16666667/50000000 1)
(14833333/100000 68 65 16666667/50000000 1)
(14833333/100000 56 58 16666667/50000000 1)
(14866667/100000 74 68 16666667/50000000 1)
(14866667/100000 46 52 16666667/50000000 1)
(149 81 72 16666667/50000000 1)
(149 39 48 16666667/50000000 1)
(14933333/100000 68 65 16666667/50000000 1)
(14933333/100000 58 59 16666667/50000000 1)
(14966667/100000 74 68 16666667/50000000 1)
(14966667/100000 46 52 16666667/50000000 1)
(150 80 72 16666667/50000000 1)
(150 39 48 16666667/50000000 1)
(15033333/100000 68 65 16666667/50000000 1)
(15033333/100000 58 59 16666667/50000000 1)
(15066667/100000 74 68 16666667/50000000 1)
(15066667/100000 46 52 16666667/50000000 1)
(151 79 71 16666667/50000000 1)
(151 39 48 16666667/50000000 1)
(15133333/100000 67 64 16666667/50000000 1)
(15133333/100000 58 59 16666667/50000000 1)
(15166667/100000 75 69 16666667/50000000 1)
(15166667/100000 46 52 16666667/50000000 1)
(152 82 73 16666667/50000000 1)
(152 39 48 16666667/50000000 1)
(15233333/100000 67 64 16666667/50000000 1)
(15233333/100000 58 59 16666667/50000000 1)
(15266667/100000 75 69 16666667/50000000 1)
(15266667/100000 46 52 16666667/50000000 1)
(153 84 74 16666667/50000000 1)
(153 39 48 16666667/50000000 1)
(15333333/100000 67 64 16666667/50000000 1)
(15333333/100000 58 59 16666667/50000000 1)
(15366667/100000 75 69 16666667/50000000 1)
(15366667/100000 46 52 16666667/50000000 1)
(154 82 73 16666667/50000000 1)
(154 39 48 16666667/50000000 1)
(15433333/100000 68 65 16666667/50000000 1)
(15433333/100000 56 58 16666667/50000000 1)
(15466667/100000 74 68 16666667/50000000 1)
(15466667/100000 46 52 16666667/50000000 1)
(155 81 72 16666667/50000000 1)
(155 39 48 16666667/50000000 1)
(15533333/100000 68 65 16666667/50000000 1)
(15533333/100000 58 59 16666667/50000000 1)
(15566667/100000 74 68 16666667/50000000 1)
(15566667/100000 46 52 16666667/50000000 1)
(156 80 72 16666667/50000000 1)
(156 39 48 16666667/50000000 1)
(15633333/100000 68 65 16666667/50000000 1)
(15633333/100000 58 59 16666667/50000000 1)
(15666667/100000 74 68 16666667/50000000 1)
(15666667/100000 46 52 16666667/50000000 1)
(157 79 71 16666667/50000000 1)
(157 39 48 16666667/50000000 1)
(15733333/100000 67 64 16666667/50000000 1)
(15733333/100000 58 59 16666667/50000000 1)
(15766667/100000 75 69 16666667/50000000 1)
(15766667/100000 46 52 16666667/50000000 1)
(158 82 73 16666667/50000000 1)
(158 39 48 16666667/50000000 1)
(15833333/100000 70 66 16666667/50000000 1)
(15833333/100000 58 59 16666667/50000000 1)
(15866667/100000 79 71 16666667/50000000 1)
(15866667/100000 46 52 16666667/50000000 1)
(159 87 76 16666667/50000000 1)
(159 43 50 16666667/50000000 1)
(15933333/100000 75 69 16666667/50000000 1)
(15933333/100000 58 59 16666667/50000000 1)
(15966667/100000 82 73 16666667/50000000 1)
(15966667/100000 51 55 16666667/50000000 1)
(160 91 78 16666667/50000000 1)
(160 43 50 16666667/50000000 1)
(16033333/100000 74 68 16666667/50000000 1)
(16033333/100000 65 63 16666667/50000000 1)
(16066667/100000 83 73 16666667/50000000 1)
(16066667/100000 59 59 16666667/50000000 1)
(161 89 77 16666667/50000000 1)
(161 50 54 16666667/50000000 1)
(16133333/100000 74 68 16666667/50000000 1)
(16133333/100000 65 63 16666667/50000000 1)
(16166667/100000 79 71 16666667/50000000 1)
(16166667/100000 59 59 16666667/50000000 1)
(162 87 76 16666667/50000000 1)
(162 48 53 16666667/50000000 1)
(16233333/100000 72 67 16666667/50000000 1)
(16233333/100000 63 62 16666667/50000000 1)
(16266667/100000 79 71 16666667/50000000 1)
(16266667/100000 55 57 16666667/50000000 1)
(163 87 76 16666667/50000000 1)
(163 45 51 16666667/50000000 1)
(16333333/100000 72 67 16666667/50000000 1)
(16333333/100000 63 62 16666667/50000000 1)
(16366667/100000 78 71 16666667/50000000 1)
(16366667/100000 54 57 16666667/50000000 1)
(164 86 75 16666667/50000000 1)
(164 51 55 16666667/50000000 1)
(16433333/100000 71 66 16666667/50000000 1)
(16433333/100000 63 62 16666667/50000000 1)
(16466667/100000 78 71 16666667/50000000 1)
(16466667/100000 54 57 16666667/50000000 1)
(165 84 74 16666667/50000000 1)
(165 45 51 16666667/50000000 1)
(16533333/100000 72 67 16666667/50000000 1)
(16533333/100000 63 62 16666667/50000000 1)
(16566667/100000 78 71 16666667/50000000 1)
(16566667/100000 54 57 16666667/50000000 1)
(166 84 74 16666667/50000000 1)
(166 46 52 16666667/50000000 1)
(16633333/100000 68 65 16666667/50000000 1)
(16633333/100000 62 61 16666667/50000000 1)
(16666667/100000 77 70 16666667/50000000 1)
(16666667/100000 56 58 16666667/50000000 1)
(167 82 73 16666667/50000000 1)
(167 53 56 16666667/50000000 1)
(16733333/100000 67 64 16666667/50000000 1)
(16733333/100000 62 61 16666667/50000000 1)
(16766667/100000 72 67 16666667/50000000 1)
(16766667/100000 56 58 16666667/50000000 1)
(168 80 72 16666667/50000000 1)
(168 46 52 16666667/50000000 1)
(16833333/100000 65 63 16666667/50000000 1)
(16833333/100000 58 59 16666667/50000000 1)
(16866667/100000 74 68 16666667/50000000 1)
(16866667/100000 56 58 16666667/50000000 1)
(169 79 71 16666667/50000000 1)
(169 39 48 16666667/50000000 1)
(16933333/100000 63 62 16666667/50000000 1)
(16933333/100000 55 57 16666667/50000000 1)
(16966667/100000 75 69 16666667/50000000 1)
(16966667/100000 46 52 16666667/50000000 1)
(170 82 73 16666667/50000000 1)
(170 39 48 16666667/50000000 1)
(17033333/100000 67 64 16666667/50000000 1)
(17033333/100000 58 59 16666667/50000000 1)
(17066667/100000 75 69 16666667/50000000 1)
(17066667/100000 46 52 16666667/50000000 1)
(171 83 73 16666667/50000000 1)
(171 39 48 16666667/50000000 1)
(17133333/100000 67 64 16666667/50000000 1)
(17133333/100000 55 57 16666667/50000000 1)
(17166667/100000 75 69 16666667/50000000 1)
(17166667/100000 46 52 16666667/50000000 1)
(172 82 73 16666667/50000000 1)
(172 39 48 16666667/50000000 1)
(17233333/100000 68 65 16666667/50000000 1)
(17233333/100000 56 58 16666667/50000000 1)
(17266667/100000 74 68 16666667/50000000 1)
(17266667/100000 46 52 16666667/50000000 1)
(173 81 72 16666667/50000000 1)
(173 39 48 16666667/50000000 1)
(17333333/100000 68 65 16666667/50000000 1)
(17333333/100000 58 59 16666667/50000000 1)
(17366667/100000 74 68 16666667/50000000 1)
(17366667/100000 46 52 16666667/50000000 1)
(174 80 72 16666667/50000000 1)
(174 39 48 16666667/50000000 1)
(17433333/100000 68 65 16666667/50000000 1)
(17433333/100000 58 59 16666667/50000000 1)
(17466667/100000 74 68 16666667/50000000 1)
(17466667/100000 46 52 16666667/50000000 1)
(175 79 71 16666667/50000000 1)
(175 39 48 16666667/50000000 1)
(17533333/100000 67 64 16666667/50000000 1)
(17533333/100000 58 59 16666667/50000000 1)
(17566667/100000 75 69 16666667/50000000 1)
(17566667/100000 46 52 16666667/50000000 1)
(176 82 73 16666667/50000000 1)
(176 39 48 16666667/50000000 1)
(17633333/100000 67 64 16666667/50000000 1)
(17633333/100000 58 59 16666667/50000000 1)
(17666667/100000 75 69 16666667/50000000 1)
(17666667/100000 46 52 16666667/50000000 1)
(177 84 74 16666667/50000000 1)
(177 39 48 16666667/50000000 1)
(17733333/100000 67 64 16666667/50000000 1)
(17733333/100000 58 59 16666667/50000000 1)
(17766667/100000 75 69 16666667/50000000 1)
(17766667/100000 46 52 16666667/50000000 1)
(178 82 73 16666667/50000000 1)
(178 39 48 16666667/50000000 1)
(17833333/100000 68 65 16666667/50000000 1)
(17833333/100000 56 58 16666667/50000000 1)
(17866667/100000 74 68 16666667/50000000 1)
(17866667/100000 46 52 16666667/50000000 1)
(179 81 72 16666667/50000000 1)
(179 39 48 16666667/50000000 1)
(17933333/100000 68 65 16666667/50000000 1)
(17933333/100000 58 59 16666667/50000000 1)
(17966667/100000 74 68 16666667/50000000 1)
(17966667/100000 46 52 16666667/50000000 1)
(180 80 72 16666667/50000000 1)
(180 39 48 16666667/50000000 1)
(18033333/100000 68 65 16666667/50000000 1)
(18033333/100000 58 59 16666667/50000000 1)
(18066667/100000 74 68 16666667/50000000 1)
(18066667/100000 46 52 16666667/50000000 1)
(181 79 71 16666667/50000000 1)
(181 39 48 16666667/50000000 1)
(18133333/100000 67 64 16666667/50000000 1)
(18133333/100000 58 59 16666667/50000000 1)
(18166667/100000 75 69 16666667/50000000 1)
(18166667/100000 46 52 16666667/50000000 1)
(182 82 73 16666667/50000000 1)
(182 39 48 16666667/50000000 1)
(18233333/100000 70 66 16666667/50000000 1)
(18233333/100000 58 59 16666667/50000000 1)
(18266667/100000 79 71 16666667/50000000 1)
(18266667/100000 46 52 16666667/50000000 1)
(183 87 76 16666667/50000000 1)
(183 43 50 16666667/50000000 1)
(18333333/100000 75 69 16666667/50000000 1)
(18333333/100000 58 59 16666667/50000000 1)
(18366667/100000 82 73 16666667/50000000 1)
(18366667/100000 51 55 16666667/50000000 1)
(184 91 78 16666667/50000000 1)
(184 31 43 16666667/50000000 1)
(18433333/100000 74 68 16666667/50000000 1)
(18433333/100000 59 59 16666667/50000000 1)
(18466667/100000 83 73 16666667/50000000 1)
(18466667/100000 53 56 16666667/50000000 1)
(185 89 77 16666667/50000000 1)
(185 43 50 16666667/50000000 1)
(18533333/100000 74 68 16666667/50000000 1)
(18533333/100000 59 59 16666667/50000000 1)
(18566667/100000 83 73 16666667/50000000 1)
(18566667/100000 53 56 16666667/50000000 1)
(186 88 76 16666667/50000000 1)
(186 44 51 16666667/50000000 1)
(18633333/100000 74 68 16666667/50000000 1)
(18633333/100000 59 59 16666667/50000000 1)
(18666667/100000 83 73 16666667/50000000 1)
(18666667/100000 52 55 16666667/50000000 1)
(187 88 76 16666667/50000000 1)
(187 45 51 16666667/50000000 1)
(18733333/100000 73 68 16666667/50000000 1)
(18733333/100000 61 61 16666667/50000000 1)
(18766667/100000 81 72 16666667/50000000 1)
(18766667/100000 52 55 16666667/50000000 1)
(188 87 76 16666667/50000000 1)
(188 45 51 16666667/50000000 1)
(18833333/100000 72 67 16666667/50000000 1)
(18833333/100000 60 60 16666667/50000000 1)
(18866667/100000 81 72 16666667/50000000 1)
(18866667/100000 53 56 16666667/50000000 1)
(189 84 74 16666667/50000000 1)
(189 45 51 16666667/50000000 1)
(18933333/100000 69 65 16666667/50000000 1)
(18933333/100000 63 62 16666667/50000000 1)
(18966667/100000 75 69 16666667/50000000 1)
(18966667/100000 54 57 16666667/50000000 1)
(190 84 74 16666667/50000000 1)
(190 46 52 16666667/50000000 1)
(19033333/100000 69 65 16666667/50000000 1)
(19033333/100000 63 62 16666667/50000000 1)
(19066667/100000 75 69 16666667/50000000 1)
(19066667/100000 54 57 16666667/50000000 1)
(191 82 73 16666667/50000000 1)
(191 46 52 16666667/50000000 1)
(19133333/100000 70 66 16666667/50000000 1)
(19133333/100000 63 62 16666667/50000000 1)
(19166667/100000 75 69 16666667/50000000 1)
(19166667/100000 55 57 16666667/50000000 1)
(192 74 68 16666667/50000000 1)
(192 34 45 16666667/50000000 1)
(19233333/100000 62 61 16666667/50000000 1)
(19233333/100000 56 58 16666667/50000000 1)
(19266667/100000 70 66 16666667/50000000 1)
(19266667/100000 46 52 16666667/50000000 1)
(193 75 69 16666667/50000000 1)
(193 39 48 16666667/50000000 1)
(19333333/100000 63 62 16666667/50000000 1)
(19333333/100000 55 57 16666667/50000000 1)
(19366667/100000 70 66 16666667/50000000 1)
(19366667/100000 46 52 16666667/50000000 1)
(194 82 73 16666667/50000000 1)
(194 39 48 16666667/50000000 1)
(19433333/100000 63 62 16666667/50000000 1)
(19433333/100000 58 59 16666667/50000000 1)
(19466667/100000 70 66 16666667/50000000 1)
(19466667/100000 46 52 16666667/50000000 1)
(195 75 69 16666667/50000000 1)
(195 39 48 16666667/50000000 1)
(19533333/100000 63 62 16666667/50000000 1)
(19533333/100000 55 57 16666667/50000000 1)
(19566667/100000 70 66 16666667/50000000 1)
(19566667/100000 46 52 16666667/50000000 1)
(196 81 72 16666667/50000000 1)
(196 39 48 16666667/50000000 1)
(19633333/100000 63 62 16666667/50000000 1)
(19633333/100000 58 59 16666667/50000000 1)
(19666667/100000 70 66 16666667/50000000 1)
(19666667/100000 46 52 16666667/50000000 1)
(197 75 69 16666667/50000000 1)
(197 39 48 16666667/50000000 1)
(19733333/100000 63 62 16666667/50000000 1)
(19733333/100000 55 57 16666667/50000000 1)
(19766667/100000 70 66 16666667/50000000 1)
(19766667/100000 46 52 16666667/50000000 1)
(198 80 72 16666667/50000000 1)
(198 39 48 16666667/50000000 1)
(19833333/100000 63 62 16666667/50000000 1)
(19833333/100000 58 59 16666667/50000000 1)
(19866667/100000 70 66 16666667/50000000 1)
(19866667/100000 46 52 16666667/50000000 1)
(199 75 69 16666667/50000000 1)
(199 39 48 16666667/50000000 1)
(19933333/100000 63 62 16666667/50000000 1)
(19933333/100000 55 57 16666667/50000000 1)
(19966667/100000 70 66 16666667/50000000 1)
(19966667/100000 46 52 16666667/50000000 1)
(200 79 71 16666667/50000000 1)
(200 39 48 16666667/50000000 1)
(20033333/100000 63 62 16666667/50000000 1)
(20033333/100000 58 59 16666667/50000000 1)
(20066667/100000 70 66 16666667/50000000 1)
(20066667/100000 46 52 16666667/50000000 1)
(201 75 69 16666667/50000000 1)
(201 39 48 16666667/50000000 1)
(20133333/100000 63 62 16666667/50000000 1)
(20133333/100000 55 57 16666667/50000000 1)
(20166667/100000 70 66 16666667/50000000 1)
(20166667/100000 46 52 16666667/50000000 1)
(202 78 71 16666667/50000000 1)
(202 39 48 16666667/50000000 1)
(20233333/100000 63 62 16666667/50000000 1)
(20233333/100000 58 59 16666667/50000000 1)
(20266667/100000 70 66 16666667/50000000 1)
(20266667/100000 46 52 16666667/50000000 1)
(203 75 69 16666667/50000000 1)
(203 39 48 16666667/50000000 1)
(20333333/100000 63 62 16666667/50000000 1)
(20333333/100000 55 57 16666667/50000000 1)
(20366667/100000 70 66 16666667/50000000 1)
(20366667/100000 46 52 16666667/50000000 1)
(204 79 71 16666667/50000000 1)
(204 39 48 16666667/50000000 1)
(20433333/100000 63 62 16666667/50000000 1)
(20433333/100000 58 59 16666667/50000000 1)
(20466667/100000 70 66 16666667/50000000 1)
(20466667/100000 46 52 16666667/50000000 1)
(205 75 69 1 1)
(205 39 48 1 1)
(208 75 69 1 1)
(208 82 73 1 1)
(208 87 76 1 1)
(208 79 71 1 1)
(208 70 66 1 1)
(208 67 64 1 1)
(208 75 69 1 1)
(211 46 52 3 1)
(211 39 48 3 1)
(211 51 55 3 1)
(211 55 57 3 1)
(211 67 64 3 1)
(211 63 62 3 1)
(211 58 59 3 1)
